func_provider,func_mem,file_size,src_provider,dest_provider,same_region,upload_time,download_time
aws,1024,1KB,aws,aws,True,0.063,0.095
aws,1024,1KB,gcp,gcp,True,0.116,0.061
aws,1024,1KB,aws,aws,True,0.068,0.044
aws,1024,1KB,gcp,gcp,True,0.115,0.055
aws,1024,1KB,aws,aws,True,0.105,0.053
aws,1024,1KB,gcp,gcp,True,0.112,0.065
aws,1024,1KB,aws,aws,True,0.099,0.032
aws,1024,1KB,gcp,gcp,True,0.18,0.06
aws,1024,1KB,aws,aws,True,0.133,0.037
aws,1024,1KB,gcp,gcp,True,0.119,0.063
aws,1024,1KB,aws,aws,True,0.087,0.039
aws,1024,1KB,gcp,gcp,True,0.108,0.054
aws,2048,1KB,aws,aws,True,0.278,1.24
aws,2048,1KB,gcp,gcp,True,0.18,0.061
aws,2048,1KB,aws,aws,True,0.088,0.08
aws,2048,1KB,gcp,gcp,True,0.124,0.061
aws,2048,1KB,aws,aws,True,0.062,0.054
aws,2048,1KB,gcp,gcp,True,0.157,0.057
aws,2048,1KB,aws,aws,True,0.084,0.055
aws,2048,1KB,gcp,gcp,True,0.128,0.055
aws,2048,1KB,aws,aws,True,0.11,0.062
aws,2048,1KB,gcp,gcp,True,0.124,0.063
aws,2048,1KB,aws,aws,True,0.081,0.054
aws,2048,1KB,gcp,gcp,True,0.125,0.084
aws,2048,1KB,aws,aws,True,0.074,0.049
aws,2048,1KB,gcp,gcp,True,0.128,0.087
aws,2048,1KB,aws,aws,True,0.06,0.044
aws,2048,1KB,gcp,gcp,True,0.132,0.058
aws,2048,1KB,aws,aws,True,0.059,0.033
aws,2048,1KB,gcp,gcp,True,0.122,0.065
aws,2048,1KB,aws,aws,True,0.05,0.049
aws,2048,1KB,gcp,gcp,True,0.13,0.053
aws,2048,1KB,aws,aws,True,0.095,0.051
aws,2048,1KB,gcp,gcp,True,0.125,0.059
aws,2048,1KB,aws,aws,True,0.091,0.053
aws,2048,1KB,gcp,gcp,True,0.146,0.058
aws,2048,1KB,aws,aws,True,0.165,0.058
aws,2048,1KB,gcp,gcp,True,0.182,0.066
aws,2048,1KB,aws,aws,True,0.134,0.037
aws,2048,1KB,gcp,gcp,True,0.118,0.131
aws,2048,1KB,aws,aws,True,0.086,0.05
aws,2048,1KB,gcp,gcp,True,0.131,0.065
gcp,128,1KB,aws,aws,True,1.037,1.358
gcp,128,1KB,gcp,gcp,True,0.587,0.112
gcp,128,1KB,aws,aws,True,0.892,0.703
gcp,128,1KB,gcp,gcp,True,0.599,0.096
gcp,128,1KB,aws,aws,True,0.474,0.601
gcp,128,1KB,gcp,gcp,True,0.363,0.13
gcp,128,1KB,aws,aws,True,0.729,0.399
gcp,128,0,unknown,unknown,True,0,0
gcp,128,1KB,aws,aws,True,2.0,9.291
gcp,128,0,unknown,unknown,True,0,0
gcp,128,1KB,aws,aws,True,0.257,0.667
gcp,128,0,unknown,unknown,True,0,0
gcp,128,1KB,aws,aws,True,1.796,9.099
gcp,128,0,unknown,unknown,True,0,0
gcp,128,1KB,aws,aws,True,2.801,8.9
gcp,128,0,unknown,unknown,True,0,0
gcp,128,1KB,aws,aws,True,0.283,0.753
gcp,128,0,unknown,unknown,True,0,0
gcp,128,1KB,aws,aws,True,0.259,0.685
gcp,128,0,unknown,unknown,True,0,0
gcp,128,1KB,aws,aws,True,0.256,0.64
gcp,128,0,unknown,unknown,True,0,0
gcp,128,1KB,aws,aws,True,0.26,0.647
